id,user_id,stress_level,login_time
1,1,Low Stress,2023-09-04 02:09:10.046792
2,1,Low Stress,2023-09-04 02:14:22.615992
3,1,Low Stress,2023-09-04 02:17:57.890788
4,2,Low Stress,2023-09-04 02:19:22.424843
5,2,Low Stress,2023-09-04 02:29:28.067208
6,2,Low Stress,2023-09-04 02:29:38.365879
7,2,Low Stress,2023-09-04 02:31:29.337577
8,2,Low Stress,2023-09-04 03:17:12.033551
9,2,Low Stress,2023-09-04 03:20:49.430136
10,2,Low Stress,2023-09-04 03:21:46.483664
11,2,Low Stress,2023-09-04 03:23:07.635679
12,2,Low Stress,2023-09-04 03:50:57.128479
13,2,Low Stress,2023-09-04 04:04:46.065441
14,2,Low Stress,2023-09-04 04:04:54.386899
15,2,Low Stress,2023-09-04 04:05:01.021313
